Image_Path,Actual_Class,Predicted_Class_1,1,Predicted_Class_2,2,Predicted_Class_3,3,Predicted_Class_4,4,Predicted_Class_5,5,,,,,,,
/home/alex/dash_clip_app/airplane/n02691156_196-1.png,airplane,airplane,39.96%,blimp,8.18%,shark,5.26%,shoe,3.98%,knife,3.25%,,,,,,,
/home/alex/dash_clip_app/airplane/n02691156_196-2.png,airplane,airplane,94.38%,helicopter,0.63%,blimp,0.58%,rocket,0.48%,knife,0.21%,,,,,,,
/home/alex/dash_clip_app/airplane/n02691156_196-4.png,airplane,airplane,36.20%,helicopter,24.57%,crocodilian,13.20%,blimp,7.47%,shark,2.18%,,,,,,,
/home/alex/dash_clip_app/airplane/n02691156_196-5.png,airplane,airplane,76.04%,helicopter,15.90%,blimp,2.32%,wheelchair,0.43%,fan,0.42%,,,,,,,
/home/alex/dash_clip_app/airplane/n02691156_359-2.png,airplane,airplane,89.26%,helicopter,4.13%,blimp,0.96%,fan,0.57%,pistol,0.48%,,,,,,,
/home/alex/dash_clip_app/airplane/n02691156_58-1.png,airplane,airplane,68.65%,helicopter,2.67%,blimp,2.05%,knife,1.87%,shoe,1.44%,,,,,,,
/home/alex/dash_clip_app/airplane/n02691156_58-2.png,airplane,airplane,91.66%,helicopter,2.23%,blimp,2.18%,shoe,0.23%,wheelchair,0.18%,,,,,,,
/home/alex/dash_clip_app/airplane/n02691156_58-3.png,airplane,airplane,84.05%,blimp,3.81%,helicopter,1.18%,pistol,0.68%,shark,0.49%,,,,,,,
/home/alex/dash_clip_app/airplane/n02691156_58-4.png,airplane,airplane,41.96%,fish,17.00%,shark,10.05%,blimp,7.36%,helicopter,5.19%,,,,,,,
/home/alex/dash_clip_app/airplane/n02691156_58-5.png,airplane,airplane,90.05%,helicopter,3.13%,blimp,2.28%,fan,0.33%,knife,0.29%,,,,,,,
/home/alex/dash_clip_app/alarm_clock/n02694662_166-1.png,alarm_clock,alarm_clock,70.61%,hourglass,13.84%,bell,2.92%,hermit_crab,2.49%,teapot,2.06%,,,,,,,
/home/alex/dash_clip_app/alarm_clock/n02694662_166-2.png,alarm_clock,alarm_clock,95.04%,hourglass,4.07%,fan,0.26%,bell,0.07%,eyeglasses,0.04%,,,,,,,
/home/alex/dash_clip_app/alarm_clock/n02694662_166-3.png,alarm_clock,alarm_clock,95.28%,hourglass,4.11%,fan,0.22%,spoon,0.03%,hammer,0.02%,,,,,,,
/home/alex/dash_clip_app/alarm_clock/n02694662_166-4.png,alarm_clock,alarm_clock,96.28%,hourglass,2.79%,fan,0.29%,bell,0.06%,eyeglasses,0.04%,,,,,,,
/home/alex/dash_clip_app/alarm_clock/n02694662_166-5.png,alarm_clock,alarm_clock,96.90%,hourglass,2.45%,fan,0.26%,spoon,0.03%,eyeglasses,0.02%,,,,,,,
/home/alex/dash_clip_app/alarm_clock/n02694662_92-1.png,alarm_clock,alarm_clock,94.06%,hourglass,5.30%,fan,0.26%,eyeglasses,0.04%,bell,0.02%,,,,,,,
/home/alex/dash_clip_app/alarm_clock/n02694662_92-2.png,alarm_clock,alarm_clock,97.94%,hourglass,1.24%,fan,0.30%,racket,0.04%,eyeglasses,0.04%,,,,,,,
/home/alex/dash_clip_app/alarm_clock/n02694662_92-3.png,alarm_clock,alarm_clock,93.69%,hourglass,5.03%,fan,0.49%,eyeglasses,0.15%,racket,0.04%,,,,,,,
/home/alex/dash_clip_app/alarm_clock/n02694662_92-4.png,alarm_clock,sheep,47.53%,beetle,14.44%,snail,8.24%,cow,3.03%,teapot,2.23%,,,,,,,
/home/alex/dash_clip_app/alarm_clock/n02694662_92-5.png,alarm_clock,hourglass,29.02%,bell,25.90%,teapot,10.85%,alarm_clock,10.11%,snail,1.96%,,,,,,,
/home/alex/dash_clip_app/ant/n02219486_526-1.png,ant,pretzel,6.78%,spoon,6.19%,pistol,5.64%,scissors,3.16%,hermit_crab,3.00%,,,,,,,
/home/alex/dash_clip_app/ant/n02219486_526-2.png,ant,ant,59.95%,bee,16.40%,beetle,15.89%,spider,2.63%,hermit_crab,1.13%,,,,,,,
/home/alex/dash_clip_app/ant/n02219486_526-4.png,ant,spider,29.18%,beetle,17.26%,bee,16.19%,ant,13.74%,butterfly,3.80%,,,,,,,
/home/alex/dash_clip_app/ant/n02219486_526-5.png,ant,hermit_crab,13.86%,spider,9.05%,crab,7.42%,horse,6.44%,beetle,4.32%,,,,,,,
/home/alex/dash_clip_app/ant/n02219486_526-6.png,ant,ant,82.99%,spider,5.01%,scorpion,3.21%,horse,2.38%,beetle,2.07%,,,,,,,
/home/alex/dash_clip_app/ant/n02219486_616-1.png,ant,ant,64.95%,beetle,17.39%,spider,8.58%,bee,5.38%,hermit_crab,0.80%,,,,,,,
/home/alex/dash_clip_app/ant/n02219486_616-2.png,ant,ant,46.65%,spider,21.25%,crab,4.26%,beetle,4.21%,scorpion,2.58%,,,,,,,
/home/alex/dash_clip_app/ant/n02219486_616-3.png,ant,beetle,36.13%,ant,28.48%,bee,7.47%,spider,3.51%,hermit_crab,3.39%,,,,,,,
/home/alex/dash_clip_app/ant/n02219486_616-4.png,ant,ant,67.57%,beetle,18.25%,scorpion,3.38%,spider,2.79%,bee,1.34%,,,,,,,
/home/alex/dash_clip_app/ant/n02219486_616-5.png,ant,ant,69.91%,spider,7.48%,beetle,5.70%,fan,5.37%,bee,3.59%,,,,,,,
/home/alex/dash_clip_app/ape/n02470325_6919-1.png,ape,ape,81.42%,teddy_bear,2.52%,hermit_crab,1.84%,bear,1.77%,penguin,1.13%,,,,,,,
/home/alex/dash_clip_app/ape/n02470325_6919-2.png,ape,ape,80.47%,hermit_crab,2.75%,bear,1.73%,frog,1.31%,teddy_bear,0.76%,,,,,,,
/home/alex/dash_clip_app/ape/n02470325_6919-3.png,ape,ape,99.28%,bear,0.31%,penguin,0.09%,armor,0.03%,banana,0.03%,,,,,,,
/home/alex/dash_clip_app/ape/n02470325_6919-4.png,ape,ape,75.76%,wheelchair,2.41%,bear,2.30%,dog,1.55%,teddy_bear,1.48%,,,,,,,
/home/alex/dash_clip_app/ape/n02470325_6919-5.png,ape,ape,87.28%,bear,5.48%,teddy_bear,0.91%,dog,0.78%,penguin,0.57%,,,,,,,
/home/alex/dash_clip_app/ape/n02470325_6919-6.png,ape,ape,49.69%,pear,4.58%,armor,2.14%,bear,2.08%,hotdog,1.95%,,,,,,,
/home/alex/dash_clip_app/ape/n02470325_9404-1.png,ape,ape,94.29%,camel,0.36%,teddy_bear,0.33%,wheelchair,0.33%,bear,0.25%,,,,,,,
/home/alex/dash_clip_app/ape/n02470325_9404-2.png,ape,ape,89.40%,bear,2.59%,teddy_bear,1.27%,dog,0.89%,pig,0.76%,,,,,,,
/home/alex/dash_clip_app/ape/n02470325_9404-3.png,ape,ape,21.78%,horse,4.41%,giraffe,4.21%,penguin,3.58%,wheelchair,3.05%,,,,,,,
/home/alex/dash_clip_app/ape/n02470325_9404-4.png,ape,rabbit,17.87%,ape,10.26%,hat,7.92%,pear,7.22%,penguin,4.71%,,,,,,,
/home/alex/dash_clip_app/apple/n07739125_240-3.png,apple,apple,79.82%,pear,17.01%,jack-o-lantern,1.81%,pineapple,0.17%,banana,0.16%,,,,,,,
/home/alex/dash_clip_app/apple/n07739125_240-5.png,apple,pear,61.37%,apple,3.47%,snail,3.03%,chicken,2.75%,penguin,2.48%,,,,,,,
/home/alex/dash_clip_app/apple/n07739125_577-1.png,apple,pear,93.75%,apple,3.75%,banana,0.50%,snail,0.22%,pineapple,0.18%,,,,,,,
/home/alex/dash_clip_app/apple/n07739125_577-2.png,apple,apple,59.52%,pear,36.24%,jack-o-lantern,2.71%,pineapple,0.14%,banana,0.12%,,,,,,,
/home/alex/dash_clip_app/apple/n07739125_577-3.png,apple,pear,56.80%,apple,9.50%,jack-o-lantern,3.22%,banana,2.23%,ape,2.07%,,,,,,,
/home/alex/dash_clip_app/apple/n07739125_577-4.png,apple,pear,77.77%,bell,6.07%,apple,3.69%,snail,2.17%,teapot,1.64%,,,,,,,
/home/alex/dash_clip_app/apple/n07739125_577-5.png,apple,pear,84.90%,apple,3.91%,bell,3.21%,banana,0.90%,teapot,0.76%,,,,,,,
/home/alex/dash_clip_app/apple/n07739125_653-2.png,apple,pear,35.42%,apple,8.03%,jack-o-lantern,7.73%,bread,3.64%,hat,3.03%,,,,,,,
/home/alex/dash_clip_app/apple/n07739125_653-3.png,apple,pear,38.84%,snail,7.18%,hat,5.30%,mouse,3.49%,banana,3.30%,,,,,,,
/home/alex/dash_clip_app/apple/n07739125_653-4.png,apple,pear,36.20%,hat,6.62%,apple,4.66%,ape,4.23%,jack-o-lantern,3.58%,,,,,,,
/home/alex/dash_clip_app/armor/n02895154_2453-2.png,armor,armor,33.32%,hourglass,9.78%,teddy_bear,6.28%,cow,3.83%,ape,3.81%,,,,,,,
/home/alex/dash_clip_app/armor/n02895154_2453-3.png,armor,hotdog,17.35%,wine_bottle,16.47%,shoe,10.49%,axe,8.27%,hammer,5.17%,,,,,,,
/home/alex/dash_clip_app/armor/n02895154_2453-4.png,armor,armor,16.31%,rhinoceros,8.52%,teddy_bear,7.80%,hourglass,5.61%,penguin,4.79%,,,,,,,
/home/alex/dash_clip_app/armor/n02895154_2453-5.png,armor,armor,27.20%,ape,9.49%,teddy_bear,9.05%,bear,6.78%,penguin,4.00%,,,,,,,
/home/alex/dash_clip_app/armor/n02895154_2453-6.png,armor,armor,29.21%,ape,13.60%,teddy_bear,10.14%,bear,6.65%,pistol,2.44%,,,,,,,
/home/alex/dash_clip_app/armor/n02895154_3773-1.png,armor,armor,83.03%,pistol,3.03%,hourglass,1.49%,pretzel,1.26%,violin,0.94%,,,,,,,
/home/alex/dash_clip_app/armor/n02895154_3773-2.png,armor,armor,34.12%,hourglass,18.06%,wine_bottle,8.59%,tank,4.39%,bell,3.58%,,,,,,,
/home/alex/dash_clip_app/armor/n02895154_3773-3.png,armor,armor,84.41%,hourglass,1.94%,axe,1.74%,hammer,1.15%,shoe,1.04%,,,,,,,
/home/alex/dash_clip_app/armor/n02895154_3773-4.png,armor,armor,84.19%,hourglass,9.29%,tank,0.48%,wine_bottle,0.39%,saw,0.26%,,,,,,,
/home/alex/dash_clip_app/armor/n02895154_3773-5.png,armor,armor,72.24%,pretzel,3.35%,pistol,1.52%,hammer,1.38%,axe,1.10%,,,,,,,
/home/alex/dash_clip_app/axe/n02764044_176-1.png,axe,axe,31.43%,hammer,14.94%,trumpet,8.87%,sword,8.11%,umbrella,6.23%,,,,,,,
/home/alex/dash_clip_app/axe/n02764044_176-2.png,axe,axe,51.96%,hammer,42.36%,trumpet,2.55%,umbrella,0.41%,sword,0.40%,,,,,,,
/home/alex/dash_clip_app/axe/n02764044_176-3.png,axe,shoe,40.57%,axe,16.51%,hammer,13.43%,spoon,3.90%,knife,3.13%,,,,,,,
/home/alex/dash_clip_app/axe/n02764044_176-4.png,axe,axe,40.24%,hammer,21.45%,umbrella,11.32%,hat,3.75%,fan,2.97%,,,,,,,
/home/alex/dash_clip_app/axe/n02764044_176-5.png,axe,axe,58.24%,hammer,35.91%,sword,1.92%,knife,0.97%,spoon,0.90%,,,,,,,
/home/alex/dash_clip_app/axe/n02764044_1990-1.png,axe,hammer,27.48%,axe,19.57%,sword,12.91%,knife,5.30%,shoe,5.07%,,,,,,,
/home/alex/dash_clip_app/axe/n02764044_1990-2.png,axe,hammer,82.60%,axe,7.24%,scissors,3.70%,spoon,1.95%,sword,1.39%,,,,,,,
/home/alex/dash_clip_app/axe/n02764044_1990-3.png,axe,hammer,42.68%,axe,16.99%,sword,8.35%,knife,5.31%,scissors,5.19%,,,,,,,
/home/alex/dash_clip_app/axe/n02764044_1990-4.png,axe,spoon,36.32%,axe,18.79%,sword,9.30%,hammer,5.69%,knife,2.50%,,,,,,,
/home/alex/dash_clip_app/axe/n02764044_1990-5.png,axe,sword,17.13%,hammer,10.54%,hotdog,8.67%,knife,6.49%,axe,6.09%,,,,,,,
/home/alex/dash_clip_app/banana/n07753592_115-2.png,banana,banana,69.93%,pear,13.81%,apple,2.54%,bread,1.75%,snail,1.67%,,,,,,,
/home/alex/dash_clip_app/banana/n07753592_115-3.png,banana,banana,89.30%,pear,2.86%,spoon,1.86%,apple,0.89%,snake,0.51%,,,,,,,
/home/alex/dash_clip_app/banana/n07753592_115-4.png,banana,eyeglasses,10.91%,banana,9.87%,trumpet,5.93%,pear,4.40%,spoon,4.30%,,,,,,,
/home/alex/dash_clip_app/banana/n07753592_115-5.png,banana,banana,83.38%,pear,2.16%,apple,1.32%,spoon,1.27%,pretzel,0.87%,,,,,,,
/home/alex/dash_clip_app/banana/n07753592_188-6.png,banana,spoon,14.95%,hotdog,9.40%,banana,6.58%,hermit_crab,4.67%,rocket,3.69%,,,,,,,
/home/alex/dash_clip_app/banana/n07753592_296-1.png,banana,banana,17.15%,spoon,7.70%,hat,7.09%,snail,5.51%,swan,4.72%,,,,,,,
/home/alex/dash_clip_app/banana/n07753592_296-5.png,banana,hat,31.37%,ape,14.08%,elephant,4.45%,rhinoceros,2.85%,bear,2.67%,,,,,,,
/home/alex/dash_clip_app/banana/n07753592_323-2.png,banana,horse,6.96%,bat,6.86%,swan,6.13%,ape,3.61%,rhinoceros,3.26%,,,,,,,
/home/alex/dash_clip_app/banana/n07753592_323-5.png,banana,hermit_crab,34.21%,crab,11.63%,banana,7.74%,lobster,3.56%,ape,3.08%,,,,,,,
/home/alex/dash_clip_app/banana/n07753592_733-1.png,banana,eyeglasses,15.92%,bell,10.72%,snail,7.07%,scissors,5.43%,shoe,4.55%,,,,,,,
/home/alex/dash_clip_app/bat/n02139199_1332-2.png,bat,penguin,24.08%,sheep,8.08%,turtle,6.12%,pig,4.24%,duck,4.23%,,,,,,,
/home/alex/dash_clip_app/bat/n02139199_1332-5.png,bat,bat,26.01%,rabbit,14.73%,mouse,14.59%,chicken,3.97%,bee,3.58%,,,,,,,
/home/alex/dash_clip_app/bat/n02139199_1332-7.png,bat,bat,7.32%,swan,7.25%,mouse,4.86%,fish,3.99%,chicken,3.94%,,,,,,,
/home/alex/dash_clip_app/bat/n02139199_2758-10.png,bat,rhinoceros,23.26%,bat,11.85%,deer,11.22%,kangaroo,7.94%,rabbit,6.70%,,,,,,,
/home/alex/dash_clip_app/bat/n02139199_2758-2.png,bat,bat,27.92%,rabbit,16.81%,mouse,8.67%,dog,8.45%,ape,6.26%,,,,,,,
